#SampleID,sid,family,Batch,day,group,color
SMIC.003.01.Day.02,3.01,3,1.0,2.0,E,1.0
SMIC.004.01.Day.02,4.01,4,1.0,2.0,H,4.0
SMIC.005.01.Day.02,5.01,5,1.0,2.0,A,1.0
SMIC.006.01.Day.02,6.01,6,1.0,2.0,H,3.0
SMIC.006.02.Day.02,6.02,6,1.0,2.0,H,4.0
SMIC.007.01.Day.02,7.01,7,1.0,2.0,H,4.0
SMIC.008.02.Day.02,8.02,8,1.0,2.0,H,4.0
SMIC.008.03.Day.02,8.03,8,1.0,2.0,F,3.0
SMIC.009.01.Day.02,9.01,9,1.0,2.0,F,3.0
SMIC.009.04.Day.02,9.04,9,1.0,2.0,D,2.0
SMIC.009.05.Day.02,9.05,9,1.0,2.0,D,2.0
SMIC.011.01.Day.02,11.01,11,1.0,2.0,D,2.0
SMIC.012.01.Day.02,12.01,12,1.0,2.0,D,2.0
SMIC.013.01.Day.02,13.01,13,1.0,2.0,H,4.0
SMIC.014.02.Day.02,14.02,14,1.0,2.0,H,4.0
SMIC.014.03.Day.02,14.03,14,1.0,2.0,H,4.0
SMIC.016.01.Day.02,16.01,16,1.0,2.0,F,3.0
SMIC.016.02.Day.02,16.02,16,1.0,2.0,H,4.0
SMIC.017.01.Day.02,17.01,17,1.0,2.0,C,1.0
SMIC.018.01.Day.02,18.01,18,1.0,2.0,F,3.0
SMIC.020.01.Day.02,20.01,20,1.0,2.0,F,3.0
SMIC.021.03.Day.02,21.03,21,1.0,2.0,A,1.0
SMIC.022.01.Day.02,22.01,22,1.0,2.0,F,3.0
SMIC.022.02.Day.02,22.02,22,1.0,2.0,H,4.0
SMIC.022.03.Day.02,22.03,22,2.0,2.0,H,4.0
SMIC.023.01.Day.02,23.01,23,1.0,2.0,H,4.0
SMIC.024.01.Day.02,24.01,24,1.0,2.0,A,1.0
SMIC.026.01.Day.02,26.01,26,1.0,2.0,H,4.0
SMIC.026.02.Day.02,26.02,26,1.0,2.0,F,3.0
SMIC.028.02.Day.02,28.02,28,1.0,2.0,F,3.0
SMIC.029.01.Day.02,29.01,29,1.0,2.0,H,4.0
SMIC.029.02.Day.02,29.02,29,1.0,2.0,F,3.0
SMIC.029.03.Day.02,29.03,29,1.0,2.0,H,4.0
SMIC.030.01.Day.02,30.01,30,1.0,2.0,H,4.0
SMIC.030.02.Day.02,30.02,30,2.0,2.0,H,3.0
SMIC.030.04.Day.02,30.04,30,1.0,2.0,H,4.0
SMIC.031.01.Day.02,31.01,31,1.0,2.0,F,3.0
SMIC.031.03.Day.02,31.03,31,1.0,2.0,C,2.0
SMIC.031.04.Day.02,31.04,31,1.0,2.0,A,1.0
SMIC.033.01.Day.02,33.01,33,2.0,2.0,D,2.0
SMIC.033.02.Day.02,33.02,33,1.0,2.0,F,3.0
SMIC.034.01.Day.02,34.01,34,1.0,2.0,F,3.0
SMIC.035.01.Day.02,35.01,35,1.0,2.0,F,3.0
SMIC.035.02.Day.02,35.02,35,2.0,2.0,H,4.0
SMIC.035.03.Day.02,35.03,35,1.0,2.0,F,3.0
SMIC.036.01.Day.02,36.01,36,1.0,2.0,B,1.0
SMIC.036.03.Day.02,36.03,36,1.0,2.0,H,3.0
SMIC.037.01.Day.02,37.01,37,1.0,2.0,H,3.0
SMIC.037.02.Day.02,37.02,37,1.0,2.0,H,4.0
SMIC.039.01.Day.02,39.01,39,1.0,2.0,H,4.0
SMIC.040.01.Day.02,40.01,40,2.0,2.0,H,4.0
SMIC.041.01.Day.02,41.01,41,1.0,2.0,F,3.0
SMIC.042.01.Day.02,42.01,42,1.0,2.0,H,3.0
SMIC.043.02.Day.02,43.02,43,2.0,2.0,H,4.0
SMIC.044.02.Day.02,44.02,44,2.0,2.0,A,1.0
SMIC.048.01.Day.02,48.01,48,2.0,2.0,A,1.0
SMIC.048.02.Day.02,48.02,48,2.0,2.0,D,2.0
SMIC.048.03.Day.02,48.03,48,2.0,2.0,C,2.0
SMIC.050.01.Day.02,50.01,50,2.0,2.0,H,3.0
SMIC.055.01.Day.02,55.01,55,2.0,2.0,H,3.0
SMIC.056.01.Day.02,56.01,56,2.0,2.0,H,3.0
SMIC.059.01.Day.02,59.01,59,2.0,2.0,H,4.0
SMIC.061.01.Day.02,61.01,61,2.0,2.0,C,2.0
SMIC.062.02.Day.02,62.02,62,2.0,2.0,H,4.0
SMIC.064.01.Day.02,64.01,64,2.0,2.0,H,3.0
SMIC.070.01.Day.02,70.01,70,2.0,2.0,H,4.0
SMIC.071.01.Day.02,71.01,71,2.0,2.0,H,4.0
SMIC.071.03.Day.02,71.03,71,2.0,2.0,C,2.0
SMIC.072.01.Day.02,72.01,72,2.0,2.0,H,4.0
SMIC.073.01.Day.02,73.01,73,2.0,2.0,A,1.0
SMIC.073.02.Day.02,73.02,73,2.0,2.0,D,2.0
SMIC.074.01.Day.02,74.01,74,2.0,2.0,H,4.0
SMIC.074.02.Day.02,74.02,74,2.0,2.0,H,4.0
SMIC.075.01.Day.02,75.01,75,2.0,2.0,H,4.0
SMIC.082.01.Day.02,82.01,82,2.0,2.0,H,4.0
SMIC.084.01.Day.02,84.01,84,2.0,2.0,E,1.0
