	description
k__Archaea;p__Crenarchaeota	phylum
k__Archaea;p__Euryarchaeota	phylum
k__Bacteria;p__Acidobacteria	phylum
k__Bacteria;p__Actinobacteria	phylum
k__Bacteria;p__Armatimonadetes	phylum
k__Bacteria;p__BRC1	phylum
k__Bacteria;p__Bacteroidetes	phylum
k__Bacteria;p__Chlamydiae	phylum
k__Bacteria;p__Chloroflexi	phylum
k__Bacteria;p__Cyanobacteria	phylum
k__Bacteria;p__Elusimicrobia	phylum
k__Bacteria;p__Fibrobacteres	phylum
k__Bacteria;p__Firmicutes	phylum
k__Bacteria;p__Fusobacteria	phylum
k__Bacteria;p__GN02	phylum
k__Bacteria;p__Gemmatimonadetes	phylum
k__Bacteria;p__Lentisphaerae	phylum
k__Bacteria;p__Nitrospirae	phylum
k__Bacteria;p__Planctomycetes	phylum
k__Bacteria;p__Proteobacteria	phylum
k__Bacteria;p__SR1	phylum
k__Bacteria;p__Spirochaetes	phylum
k__Bacteria;p__Synergistetes	phylum
k__Bacteria;p__TM6	phylum
k__Bacteria;p__TM7	phylum
k__Bacteria;p__Tenericutes	phylum
k__Bacteria;p__Thermotogae	phylum
k__Bacteria;p__Verrucomicrobia	phylum
k__Bacteria;p__WPS-2	phylum
k__Bacteria;p__[Thermi]	phylum
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota	class
k__Archaea;p__Euryarchaeota;c__Halobacteria	class
k__Archaea;p__Euryarchaeota;c__Methanobacteria	class
k__Archaea;p__Euryarchaeota;c__Methanomicrobia	class
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	class
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6	class
k__Bacteria;p__Acidobacteria;c__Acidobacteriia	class
k__Bacteria;p__Acidobacteria;c__Holophagae	class
k__Bacteria;p__Acidobacteria;c__Solibacteres	class
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria]	class
k__Bacteria;p__Acidobacteria;c__iii1-8	class
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia	class
k__Bacteria;p__Actinobacteria;c__Actinobacteria	class
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	class
k__Bacteria;p__Actinobacteria;c__MB-A2-108	class
k__Bacteria;p__Actinobacteria;c__Nitriliruptoria	class
k__Bacteria;p__Actinobacteria;c__OPB41	class
k__Bacteria;p__Actinobacteria;c__Rubrobacteria	class
k__Bacteria;p__Actinobacteria;c__Thermoleophilia	class
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia]	class
k__Bacteria;p__BRC1;c__PRR-11	class
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	class
k__Bacteria;p__Bacteroidetes;c__Cytophagia	class
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	class
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	class
k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22	class
k__Bacteria;p__Bacteroidetes;c__[Rhodothermi]	class
k__Bacteria;p__Bacteroidetes;c__[Saprospirae]	class
k__Bacteria;p__Chlamydiae;c__Chlamydiia	class
k__Bacteria;p__Chloroflexi;c__Anaerolineae	class
k__Bacteria;p__Chloroflexi;c__Gitt-GS-136	class
k__Bacteria;p__Chloroflexi;c__Thermomicrobia	class
k__Bacteria;p__Cyanobacteria;c__4C0d-2	class
k__Bacteria;p__Cyanobacteria;c__Chloroplast	class
k__Bacteria;p__Cyanobacteria;c__ML635J-21	class
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae	class
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae	class
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae	class
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	class
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria	class
k__Bacteria;p__Firmicutes;c__Bacilli	class
k__Bacteria;p__Firmicutes;c__Clostridia	class
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	class
k__Bacteria;p__Fusobacteria;c__Fusobacteriia	class
k__Bacteria;p__GN02;c__BD1-5	class
k__Bacteria;p__Gemmatimonadetes;c__Gemm-1	class
k__Bacteria;p__Gemmatimonadetes;c__Gemm-3	class
k__Bacteria;p__Gemmatimonadetes;c__Gemm-5	class
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes	class
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]	class
k__Bacteria;p__Nitrospirae;c__Nitrospira	class
k__Bacteria;p__Planctomycetes;c__Phycisphaerae	class
k__Bacteria;p__Planctomycetes;c__Planctomycetia	class
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	class
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	class
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	class
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	class
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	class
k__Bacteria;p__SR1;c__	class
k__Bacteria;p__Spirochaetes;c__Spirochaetes	class
